asin,title,author,author_asin,narrator,publication_datetime,release_date,publisher_name,length,category,mp3_excerpt,overall_rating,overall_num_ratings,performance_rating,performance_num_ratings,story_rating,story_num_ratings,num_reviews,price,series_asin,series_name
B002UZZ66Q,The Legend of Colton H. Bryant,Alexandra Fuller,B001IU2Q3A,Ed Sala,2008-08-06T11:49:00Z,2008-08-06,Recorded Books,371,Biographies & Memoirs,https://samples.audible.com/bk/reco/001955/bk_reco_001955_sample.mp3,4.0,54,4.2,35,4.0,37,5,17.19,,
B00LB7EX8G,The Fictional Woman,Tara Moss,B0034PA8ZA,Tara Moss,2014-06-26T16:15:00Z,2014-06-26,Bolinda audio,582,Biographies & Memoirs,https://samples.audible.com/bk/boli/002210/bk_boli_002210_sample.mp3,4.5,15,4.7,15,4.5,15,1,19.49,,
B002V0KBYW,Firestorm,Lisa Tawn Bergren,B001IR3BMI,Kris Faulkner,2008-06-06T11:04:00Z,2008-06-06,Books in Motion,578,Literature & Fiction,https://samples.audible.com/bk/bimo/000295/bk_bimo_000295_sample.mp3,4.3,25,4.6,14,4.7,15,3,18.89,B01LYZMBNL,Full Circle
B07FQWYHB7,Horusian Wars: Incarnation,John French,B00D7448HW,John Banks,2018-07-24T07:00:00Z,2018-07-24,Black Library,602,Science Fiction & Fantasy,https://samples.audible.com/bk/gawo/000790/bk_gawo_000790_sample.mp3,4.4,209,4.7,188,4.2,188,5,32.71,B07CN7CB82,Horusian Wars
B00AZQFH0M,I'm Walking as Straight as I Can,"Ted Nichelson,Geri Jewell",",",Geri Jewell,2013-01-18T08:00:00Z,2013-01-18,Audible Studios,843,Biographies & Memoirs,https://samples.audible.com/bk/adbl/008112/bk_adbl_008112_sample.mp3,4.8,28,4.8,26,4.8,26,4,24.95,,
B00HAOKTB4,The Dark Divide,J J Fallon,B00E20U89C,Colleen Prendegast,2013-12-27T08:00:00Z,2013-12-27,Audible Studios,1005,Science Fiction & Fantasy,https://samples.audible.com/bk/adbl/016317/bk_adbl_016317_sample.mp3,4.4,33,4.7,29,4.4,29,0,25.08,B00H7L9ZYC,Rift Runners
B00FPO6RCQ,Desperate Housewives of Olympus,Saranna DeWylde,B003JEDMI6,Hollie Jackson,2013-10-09T23:44:00Z,2013-10-09,Saranna DeWylde,563,Romance,https://samples.audible.com/bk/acx0/011314/bk_acx0_011314_sample.mp3,4.3,22,4.6,21,4.4,20,9,18.49,B09QBWKZKF,Ambrosia Lane
1977337317,Scornful Scones,Mildred Abbott,B077XMB42Y,Angie Hickman,2019-02-12T08:00:00Z,2019-02-12,Tantor Audio,373,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/tant/014694/bk_tant_014694_sample.mp3,4.7,171,4.6,152,4.7,152,7,17.19,B07DFQBD16,Cozy Corgi Mysteries
B00OAOJPHQ,Last Light,Andy McNab,B000AP6Y7S,Paul Thornley,2014-10-23T07:00:00Z,2014-10-23,Penguin Audio,763,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/rhuk/001863/bk_rhuk_001863_sample.mp3,4.5,10,4.7,9,4.4,9,0,17.43,B008YKF0MG,Nick Stone
B01M3UI84E,There Was a Crooked Man,K. J. Larsen,B004FVWMZG,Carol Monda,2016-11-01T07:00:00Z,2016-11-01,"Blackstone Audio, Inc.",409,"Mystery, Thriller & Suspense",https://samples.audible.com/bk/blak/009345/bk_blak_009345_sample.mp3,4.9,7,4.5,6,4.6,7,0,15.56,B0076MAPUA,Cat DeLuca
